ann_return,ann_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,var_95,cvar_95,skewness,kurtosis,total_return,num_days,pair,period
0.011591531496003499,0.13535813818335096,0.08563601458747942,0.06190134245129145,-0.2997791378309934,0.03866690517516419,0.08830950378469302,-0.010145800753208978,-0.021794667973802702,1.885449841105629,31.205141472105655,0.024086201707750998,2378,Semiconductors,In-Sample (ML)
0.08285019681596321,0.13854444246342348,0.5980044767067155,0.5849469236054592,-0.12060150818374282,0.6869747987706466,0.13247863247863248,-0.014641177160649804,-0.021687533421179895,0.9098043242151073,8.118845145760588,0.07046673126879299,234,Semiconductors,Out-of-Sample (ML)
-0.02962558808103495,0.1592404431199668,-0.18604311505661883,-0.13022889024399176,-0.5029840769725826,-0.05889965395992013,0.11017661900756939,-0.012654900620133124,-0.026376641742776746,-0.2346826760904561,38.583035990171176,-0.3294443457579789,2378,Semiconductors,In-Sample (Baseline)
0.1669172173174646,0.16642569886168548,1.0029533807527382,0.9427054441402903,-0.11972122941315588,1.394215697045978,0.1752136752136752,-0.017025731537131116,-0.025400430648941198,0.31163150617308505,7.268438738773203,0.1527796696909942,234,Semiconductors,Out-of-Sample (Baseline)
0.009698912427157994,0.11415163170466257,0.08496516679018122,0.045002990241539836,-0.5030790611328515,0.019279101788330515,0.09335576114381834,-0.00707434551000175,-0.018210042788959605,-1.5939545256333205,44.911644438206416,0.029963583974134345,2378,Energy,In-Sample (ML)
-0.285192775607165,0.1183482647135147,-2.40977572672933,-1.4640406378819746,-0.23780383644561431,-1.1992774375294342,0.08547008547008547,-0.013898515008691463,-0.027458488662086573,-2.7047434973007074,13.947384127792652,-0.23780383644561431,234,Energy,Out-of-Sample (ML)
0.000979326936317348,0.1265010855054954,0.007741648479963475,0.004845889600146281,-0.5030790611328515,0.001946666064995956,0.1312026913372582,-0.009920402895458235,-0.021414549100942124,-1.4328050399161096,31.168834892402845,-0.06470055776555028,2378,Energy,In-Sample (Baseline)
-0.285192775607165,0.1183482647135147,-2.40977572672933,-1.4640406378819746,-0.23780383644561431,-1.1992774375294342,0.08547008547008547,-0.013898515008691463,-0.027458488662086573,-2.7047434973007074,13.947384127792652,-0.23780383644561431,234,Energy,Out-of-Sample (Baseline)
0.008182040191759443,0.09441285186789707,0.08666235612930955,0.06021531675568535,-0.24160649264608192,0.033865150320049275,0.1135407905803196,-0.008114999224648978,-0.01602101037036382,-0.1860163807507737,24.49268448994443,0.0357438629086162,2378,Tech_Broad_vs_Mega,In-Sample (ML)
-0.050408859433521115,0.11222918247292335,-0.44915999852073113,-0.41274807565895566,-0.13249282760511039,-0.380464817188163,0.18376068376068377,-0.013564244486264542,-0.019542124929325288,-0.24358234988151684,5.866220832798414,-0.05128420852261317,234,Tech_Broad_vs_Mega,Out-of-Sample (ML)
0.01867822471023252,0.1031517246890889,0.1810752536279042,0.1475399593732391,-0.25983517837367187,0.07188489575253415,0.15517241379310345,-0.009385558821717387,-0.017084112203525407,-0.07910421196282454,17.691469408426666,0.13432341557245975,2378,Tech_Broad_vs_Mega,In-Sample (Baseline)
-0.050408859433521115,0.11222918247292335,-0.44915999852073113,-0.41274807565895566,-0.13249282760511039,-0.380464817188163,0.18376068376068377,-0.013564244486264542,-0.019542124929325288,-0.24358234988151684,5.866220832798414,-0.05128420852261317,234,Tech_Broad_vs_Mega,Out-of-Sample (Baseline)
-0.030975746688816707,0.09212196040883229,-0.3362471505311873,-0.20814677986997454,-0.34677679744183676,-0.08932473832541268,0.07779646761984861,-0.006995412094446379,-0.016549826269816825,-0.4666873200189998,20.94663939283251,-0.2828308819744718,2378,Staples_vs_Discretionary,In-Sample (ML)
-0.27837490891955846,0.13346484189976526,-2.08575460740907,-1.1600179002066993,-0.23435552564319806,-1.1878316423542712,0.07692307692307693,-0.01541105776987725,-0.02890159043229572,-3.094566706641545,24.74442856825899,-0.23435552564319806,234,Staples_vs_Discretionary,Out-of-Sample (ML)
-0.036911700622253234,0.10932869236012577,-0.3376213492124015,-0.2610787908459535,-0.4258256005031944,-0.0866826714472662,0.127838519764508,-0.010809924928756376,-0.019436620919124493,-0.1820496622221076,13.256712699515948,-0.3328904327582971,2378,Staples_vs_Discretionary,In-Sample (Baseline)
-0.3069866085531584,0.1339494156444555,-2.2918099871969493,-1.3441640423469325,-0.2544973696714451,-1.2062466851797984,0.07692307692307693,-0.01541105776987725,-0.02890159043229572,-3.027428646785429,24.184319947750247,-0.2544973696714451,234,Staples_vs_Discretionary,Out-of-Sample (Baseline)
